학교명,주소,위도,경도
흥덕중학교,전라북도 고창군 흥덕면 잿말길 21,35.52331092,126.7015304
아영중학교,전라북도 남원시 아영면 고인청계길 18,35.50702807,127.6098924
군산동산중학교,전라북도 군산시 구영신창길 60-6,35.98857921,126.7072673
봉서중학교,전라북도 완주군 봉동읍 둔산3로 131,35.96601954,127.1252764
만경중학교,전라북도 김제시 만경읍 능제로 29,35.84855174,126.8172224
김제중학교,전라북도 김제시 중앙로 274,35.7937615,126.8995867
진안여자중학교,전라북도 진안군 진안읍 어영골길 33,35.80154854,127.4213457
주산중학교,전라북도 부안군 주산면 주산로 30,35.67049307,126.7119767
남성중학교,전라북도 익산시 동서로35길 41,35.95635944,126.9659181
관촌중학교,전라북도 임실군 관촌면 사선10길 23,35.67849508,127.2697068
순창여자중학교,전라북도 순창군 순창읍 장류로 295-11,35.37840957,127.1339636
용진중학교,전라북도 완주군 용진읍 상운길 11,35.88236024,127.1532729
회현중학교,전라북도 군산시 회현면 대위로 426,35.91210816,126.7549318
만경여자중학교,전라북도 김제시 만경읍 만경로 823,35.85368921,126.8147776
군산제일중학교,전라북도 군산시 경기장로 142,35.97273147,126.7490296
정읍중학교,전라북도 정읍시 정읍사로 569,35.55381853,126.8637005
여산중학교,전라북도 익산시 여산면 가람로 459-10,36.06683286,127.08065
웅포중학교,전라북도 익산시 웅포면 덕성길 13,36.08871987,126.8852374
임피중학교,전라북도 군산시 서수면 항쟁로 138,35.98422417,126.8698947
익산부천중학교,전라북도 익산시 동서로 524,35.95342256,126.9901284
순창중학교,전라북도 순창군 순창읍 담순로 1418,35.37692157,127.1523716
진경여자중학교,전라북도 익산시 황등면 황등서로 104,36.00127876,126.9327919
백운중학교,전라북도 진안군 백운면 임진로 1298,35.68898827,127.3975578
전주신흥중학교,전라북도 전주시 완산구 서원로 399,35.81541013,127.1362767
전주우전중학교,전라북도 전주시 완산구 쑥고개로 375-28,35.80500421,127.1063739
금지중학교,전라북도 남원시 금지면 요천로 443-9,35.35002408,127.3016161
계화중학교,전라북도 부안군 계화면 창북중앙길 92,35.75980648,126.6949525
보안중학교,전라북도 부안군 보안면 영전길 37,35.61010081,126.6735425
운주중학교,전라북도 완주군 운주면 운주로 64,36.08868999,127.2813392
청웅중학교,전라북도 임실군 청웅면 청웅로 131-7,35.56942024,127.1982913
전주풍남중학교,전라북도 전주시 완산구 거마평로 83,35.79980046,127.1152469
전주아중중학교,전라북도 전주시 덕진구 중상보로 16,35.83248496,127.1703814
무주중학교,전라북도 무주군 무주읍 신교로 1,36.01093683,127.6647946
전주효문여자중학교,전라북도 전주시 완산구 용리로 92,35.7982023,127.1198927
임실동중학교,전라북도 임실군 임실읍 봉황로 147,35.6145676,127.2788369
송동중학교,전라북도 남원시 송동면 노송로 747,35.36398527,127.3426621
산서중학교,전라북도 장수군 산서면 보산로 1852-6,35.58388638,127.3990161
전주해성중학교,전라북도 전주시 완산구 계룡산길 88,35.78676751,127.1008413
전라중학교,전라북도 전주시 덕진구 들사평1길 39,35.83755007,127.1234293
전주남중학교,전라북도 전주시 완산구 덕적골2길 30,35.79608353,127.1402939
고부중학교,전라북도 정읍시 고부면 관청길 114,35.61404249,126.7420284
남원하늘중학교,전라북도 남원시 동헌길 75,35.40855263,127.381441
계북중학교,전라북도 장수군 계북면 장무로 1005-12,35.78964391,127.6148355
원광여자중학교,전라북도 익산시 선화로13길 72,35.95432998,126.9434322
태인중학교,전라북도 정읍시 태인면 석지로 1469,35.65261885,126.9389432
전북중학교,전라북도 전주시 덕진구 쪽구름2길 22,35.87324481,127.0779915
호남중학교,전라북도 정읍시 정읍남로 1364-13,35.55709637,126.8511975
진북고등공민학교,전라북도 전주시 덕진구 숲정이3길 35,35.83181614,127.1310811
전주서곡중학교,전라북도 전주시 완산구 서곡6길 23,35.83554893,127.1035986
공음중학교,전라북도 고창군 공음면 공음길 74-6,35.3791647,126.5146986
전북체육중학교,전라북도 완주군 소양면 원암로 46,35.8655498,127.2506488
정우중학교,전라북도 정읍시 정우면 양지1길 100-28,35.6461159,126.8830837
대강중학교,전라북도 남원시 대강면 금탄로 512-16,35.34177514,127.215826
장수중학교,전라북도 장수군 장수읍 호비로 68,35.65352113,127.5207329
전주용소중학교,전라북도 전주시 덕진구 송천로 112,35.86268677,127.1174748
전주중학교,전라북도 전주시 덕진구 솔내5길 9,35.85787171,127.1227172
인월중학교,전라북도 남원시 인월면 인월장터로 48,35.46495634,127.6027247
계남중학교,전라북도 장수군 계남면 계남중길 52,35.70509628,127.5727227
정일여자중학교,전라북도 정읍시 충정로 511,35.58114306,126.8307516
군산영광중학교,전라북도 군산시 둔배미길 21,35.98265866,126.7148686
주천중학교,전라북도 진안군 주천면 동상주천로 2267,35.97912612,127.4299875
전주양지중학교,전라북도 전주시 완산구 양지2길 11-16,35.79174135,127.1243865
삼우중학교,전라북도 완주군 이서면 반교로 34-9,35.82457344,127.0241716
