고유번호,구명,정원수,위도,경도
163,전주시 완산구,13,35.83348323,127.1071126
164,전주시 완산구,20,35.81010031,127.1244271
165,전주시 완산구,15,37.49978543,126.9427333
166,전주시 완산구,19,35.78510176,127.1331957
167,전주시 완산구,19,35.79092759,127.118871
168,전주시 완산구,19,35.7998651,127.11169
169,전주시 완산구,19,35.81273369,127.1096328
170,전주시 완산구,20,35.81025701,127.1271244
171,전주시 완산구,19,35.78735976,127.1275753
172,전주시 완산구,18,35.79469344,127.1408195
173,전주시 완산구,17,35.79572647,127.1152545
174,전주시 완산구,20,37.7660558,126.768558
175,전주시 완산구,20,35.83574996,127.1086454
176,전주시 완산구,17,35.83228661,127.0974986
177,전주시 완산구,19,37.35656849,126.9449544
178,전주시 완산구,18,35.80361872,127.1283521
179,전주시 완산구,19,35.78510176,127.1331957
180,전주시 완산구,13,37.47087797,126.931769
181,전주시 완산구,19,35.79049694,127.1302943
182,전주시 완산구,19,37.70248423,127.0477945
183,전주시 완산구,20,37.51746312,126.8964937
184,전주시 완산구,20,35.81826696,127.12524
185,전주시 완산구,20,35.79329229,127.1396979
186,전주시 완산구,20,35.7998651,127.11169
187,전주시 완산구,14,35.78798652,127.1294969
188,전주시 완산구,18,35.80061326,127.1126323
189,전주시 완산구,20,35.79670036,127.12256
190,전주시 완산구,15,35.8308328,127.1110926
191,전주시 완산구,19,37.31437232,126.8158677
192,전주시 완산구,20,35.83677982,127.1149517
193,전주시 완산구,19,35.82853866,127.1193544
194,전주시 완산구,17,35.83177947,127.0966134
195,전주시 완산구,19,35.78615975,127.1272936
196,전주시 완산구,19,35.7911009,127.1158277
197,전주시 완산구,19,37.47600843,126.8573668
198,전주시 완산구,13,37.47594397,126.8567405
199,전주시 완산구,16,35.79695088,127.1150192
200,전주시 완산구,20,37.51746312,126.8964937
201,전주시 완산구,19,35.78510901,127.1391306
202,전주시 완산구,20,35.83349772,127.0977246
203,전주시 완산구,20,35.83111223,127.1127025
204,전주시 완산구,20,35.8139317,127.1295081
205,전주시 완산구,19,35.78735976,127.1275753
206,전주시 완산구,20,37.47087797,126.931769
207,전주시 완산구,19,35.80952137,127.1139376
208,전주시 완산구,19,35.79995967,127.1275199
209,전주시 완산구,20,35.79531542,127.118571
210,전주시 완산구,19,35.79572647,127.1152545
211,전주시 완산구,19,35.7967368,127.112096
212,전주시 완산구,13,35.83265626,127.1118344
213,전주시 완산구,19,35.80671603,127.1278134
214,전주시 완산구,19,35.83025964,127.0984415
215,전주시 완산구,19,35.80415714,127.112516
216,전주시 완산구,19,35.79092759,127.118871
217,전주시 완산구,20,35.81024102,127.1017938
218,전주시 완산구,13,35.83521408,127.1142806
219,전주시 완산구,13,37.74517382,128.882075
