,주차장명,주차면수,운영시간,당일최고요금,주차요금,주 소,전화번호,비고,위도,경도
61,하가지구 리드빌딩,28면,24시간,무료,무료,전주시 덕진구 가련산로 20,,무료주차장,35.8413385011241,127.11128291845
62,하가지구 소소빌딩 뒤,27면,24시간,무료,무료,전주시 덕진구 가리내3길 16-1,,무료주차장,35.8466863171065,127.10978160974
63,송천1동 송천도서관,34면,24시간,무료,무료,전주시 덕진구 솔내로 212,,무료주차장,35.8693883292964,127.128128160773
64,송천2동 주민자치센터,17면,24시간,무료,무료,전주시 덕진구 두간22길 5,,무료주차장,0,0
65,송천2동 용소초교,17면,24시간,무료,무료,전주시 덕진구 송천3길 30-34,,무료주차장,35.8613550133162,127.118004106528
66,송천2동 공원,13면,24시간,무료,무료,전주시 덕진구 두간5길 9,,무료주차장,35.8645226398164,127.118106235771
67,하가지구 하가홈마트 뒤,28면,24시간,무료,무료,전주시 덕진구 가리내8길 19,,무료주차장,35.8433076575919,127.109714524156
68,하가지구 초담불고기 뒤,29면,24시간,무료,무료,전주시 덕진구 가리내5길 19,,무료주차장,0,0
69,하가지구 풍경안경원 옆,28면,24시간,무료,무료,전주시 덕진구 가리내10길 12-1,,무료주차장,35.8422224023015,127.110557810104
70,하가지구 나그네교회 앞,29면,24시간,무료,무료,전주시 덕진구 가리내1길 14,,무료주차장,0,0
71,인후공원,64면,24시간,무료,무료,전주시 덕진구 안덕원3길 10,,무료주차장,35.8434192882693,127.163764044455
72,서신동 에덴교회,28면,24시간,무료,무료,전주시 완산구 고사평 1길 3,,무료주차장,35.8345206399596,127.109051525001
73,한옥마을 치명자산성지 옆,"1,000면",24시간,무료,무료,전주시 완산구 바람쐬는길 133,,무료주차장,35.8035244007075,127.168539013995
74,송천2동 시영아파트 앞,170면,24시간,무료,무료,전주시 덕진구 와룡로 97-14,,무료주차장,35.8682507746113,127.113132001382
75,남노송동 병무청,27면,24시간,무료,무료,전주시 완산구 관선3길 8-4,,무료주차장,35.8204445027062,127.153598631797
76,인후2동 용수마을,11면,24시간,무료,무료,전주시 덕진구 거북바우로 124-15 ,,무료주차장,35.8415949787391,127.149582005274
77,월드컵경기장,"4,181면",24시간,무료,무료,전주시 덕진구 기린대로 1055,,무료주차장,35.8680838534135,127.064503231367
78,화산체육관,343면,24시간,무료,무료,전주시 완산구 백제로 310,,무료주차장,0,0
79,완산수영장,210면,24시간,무료,무료,전주시 완산구 쑥고개로 366-7,,무료주차장,35.8026599396183,127.106196963605
80,덕진공원,70면,24시간,무료,무료,전주시 덕진구 권삼득로 390,,무료주차장,35.8474947551604,127.121031157474
