학교명,주소,위도,경도
용북초등학교,전라북도 익산시 용안면 용북로 81,36.13432786,126.9477189
대야초등학교,전라북도 군산시 대야면 대야관통로 141-13,35.94883591,126.8181746
봉동초등학교,전라북도 완주군 봉동읍 봉동동서로 105,35.93849374,127.1621833
번암초등학교,전라북도 장수군 번암면 동강길 21,35.53434901,127.5470425
군산신흥초등학교,전라북도 군산시 백토로 129,35.96810988,126.706831
창오초등학교,전라북도 군산시 성산면 동군산로 393,35.98533822,126.8168377
이리남초등학교,전라북도 익산시 번영로 2040-9,35.91425607,126.9301944
정읍동초등학교,전라북도 정읍시 충정로 176,35.56695559,126.8620383
이리부천초등학교,전라북도 익산시 부송1로 32,35.95655039,126.985524
용성초등학교,전라북도 익산시 낭산면 하맹길 183,36.05656593,126.9996425
이리중앙초등학교,전라북도 익산시 인북로 77,35.93568016,126.9508726
다송초등학교,전라북도 익산시 함열읍 익산대로 1351,36.04144728,126.9550746
비룡초등학교,전라북도 김제시 용지면 금백로 845-7,35.84412437,126.9898157
초처초등학교,전라북도 김제시 봉남면 초처로 233,35.73907155,126.9548912
동북초등학교,전라북도 부안군 동진면 제전길 63,35.77573678,126.7308938
술산초등학교,전라북도 군산시 임피면 남산로 26-13,35.95713333,126.8623024
전주서천초등학교,전라북도 전주시 완산구 당산로 9,35.83217864,127.1082808
만경초등학교,전라북도 김제시 만경읍 능제2길 2,35.85417271,126.8229525
부안동초등학교,전라북도 부안군 부안읍 석정로 313,35.71639463,126.7383324
계북초등학교,전라북도 장수군 계북면 문성길 7,35.78718361,127.6175041
마암초등학교,전라북도 임실군 운암면 마암2길 84,35.60310732,127.1045917
쌍치초등학교,전라북도 순창군 쌍치면 반계길 40,35.50160511,127.0026687
복흥초등학교,전라북도 순창군 복흥면 정산로 12,35.43121875,126.9319795
춘포초등학교,전라북도 익산시 춘포면 춘포로 408,35.90170167,127.0107764
당북초등학교,전라북도 군산시 옥산면 백석로 40,35.94666143,126.717003
군산지곡초등학교,전라북도 군산시 신지길 26,35.95759841,126.7070538
황강초등학교,전라북도 김제시 공덕면 유강4길 94,35.87608915,126.9246759
행안초등학교,전라북도 부안군 행안면 월륜길 18,35.71986767,126.7168239
전주송원초등학교,전라북도 전주시 덕진구 와룡로 25,35.86154103,127.1110038
성북초등학교,전라북도 익산시 망성면 신작길 17-5,36.1465224,127.0081046
석불초등학교,전라북도 익산시 삼기면 진북로 267,36.02994903,127.005968
김제동초등학교,전라북도 김제시 중앙13길 18,35.79479281,126.9009833
아산초등학교,전라북도 고창군 아산면 영모정길 45,35.48332243,126.6054618
황등초등학교,전라북도 익산시 황등면 황금로 17-6,36.009277,126.9451567
설천초등학교,전라북도 무주군 설천면 무설로 1599,36.00928507,127.7888836
고부초등학교,전라북도 정읍시 고부면 교동3길 14,35.62075142,126.7722149
군산남초등학교,전라북도 군산시 삼학7길 4,35.97826042,126.714884
전주만성초등학교,전라북도 전주시 덕진구 중동로 32,35.83673137,127.0654162
군산아리울초등학교,전라북도 군산시 수송동로 90,35.96771396,126.7203082
이리모현초등학교,전라북도 익산시 배산로14길 12-4,35.94552389,126.9399632
전주삼천남초등학교,전라북도 전주시 완산구 거마남로 65,35.79648986,127.1237587
태봉초등학교,전라북도 완주군 구이면 덕평로 289,35.7455962,127.1496079
전주북일초등학교,전라북도 전주시 덕진구 견훤로 336,35.84208627,127.1559492
고창초등학교,전라북도 고창군 고창읍 중앙로 259,35.43636851,126.703322
동양초등학교,전라북도 완주군 소양면 전진로 1059,35.84407494,127.2712298
장승초등학교,전라북도 진안군 부귀면 곰티로 1287,35.79937969,127.3345875
백련초등학교,전라북도 부안군 하서면 변산로 1203,35.70781063,126.6010025
번암초등학교동화분교장,전라북도 장수군 번암면 지지로 610,35.56820249,127.5570913
대야남초등학교,전라북도 군산시 대야면 남군산로 116,35.9193117,126.8200781
문창초등학교,전라북도 군산시 공항로 394,35.95624713,126.6549529
전주동북초등학교,전라북도 전주시 덕진구 견훤왕궁로 227,35.83899099,127.1444129
내장초등학교,전라북도 정읍시 대석1길 13-4,35.53504252,126.8930989
신평초등학교,전라북도 임실군 신평면 가덕로 683,35.65760459,127.2263267
전주한들초등학교,전라북도 전주시 완산구 화산천변8길 10,35.82139815,127.1169855
위도초등학교,전라북도 부안군 위도면 진리잔등로 113-3,35.59607225,126.2923328
군산문화초등학교,전라북도 군산시 문화안길 51,35.97470879,126.7034661
전주우전초등학교,전라북도 전주시 완산구 우전2길 11,35.80597309,127.1073752
이리북초등학교,전라북도 익산시 인북로58길 11,35.95263576,126.9611933
원평초등학교,전라북도 김제시 금산면 원평로 101,35.71738385,126.9944178
전주효림초등학교,전라북도 전주시 완산구 강변로 128,35.80299582,127.1130419
보절초등학교,전라북도 남원시 보절면 신흥2길 5,35.51427906,127.4006298
남원중앙초등학교,전라북도 남원시 동림로 36,35.41299311,127.3901121
천천초등학교,전라북도 장수군 천천면 송탄로 22,35.73553877,127.5335668
심원초등학교,전라북도 고창군 심원면 심원로 229,35.52571291,126.5523901
옥천초등학교,전라북도 순창군 순창읍 순창6길 33,35.37302512,127.1464854
인계초등학교,전라북도 순창군 인계면 인성로 162-7,35.41427145,127.1589261
삼계초등학교,전라북도 임실군 삼계면 삼계1길 20-3,35.50688092,127.2772255
정읍남초등학교,전라북도 정읍시 남산5길 25,35.56040042,126.8491459
산외초등학교,전라북도 정읍시 산외면 운전2길 7,35.62040891,127.0404365
서수초등학교,전라북도 군산시 서수면 항쟁로 199,35.98269619,126.8767945
송풍초등학교,전라북도 진안군 용담면 안용로 1005,35.9652011,127.5185427
남관초등학교,전라북도 완주군 상관면 마자길 7,35.72331461,127.2336338
봉암초등학교,전라북도 고창군 부안면 인촌로 505,35.55832647,126.6277495
덕천초등학교,전라북도 정읍시 덕천면 황토현로 831,35.62081047,126.8442762
전주북초등학교,전라북도 전주시 덕진구 소리로 180,35.85655403,127.1515186
청하초등학교,전라북도 김제시 청하면 대청4길 25,35.89335357,126.8586861
금마초등학교,전라북도 익산시 금마면 금마4길 38,35.99106771,127.05592
전주초등학교,전라북도 전주시 완산구 대동로 33,35.82255286,127.1396496
해성초등학교,전라북도 군산시 옥성남길 21,35.95872636,126.6306434
