,도로명,위도,경도
79,전라북도 전주시 덕진구 석소3길 13-0,35.8341158530641,127.170017042404
80,전라북도 전주시 덕진구 아중중앙로 17-0,35.8298627254633,127.172108081884
81,전라북도 전주시 덕진구 정언신로 163-0,35.8313562858205,127.171290990718
82,전라북도 전주시 덕진구 아중6길 24-4,35.8323811617556,127.17182023012
83,전라북도 전주시 덕진구 아중중앙로 8-0,35.8292658744789,127.172888020975
84,전라북도 전주시 덕진구 한배미6길 23-0,35.8225842435468,127.169257099872
85,전라북도 전주시 덕진구 견훤로 310-0,35.8390441743269,127.156014643946
86,전라북도 전주시 덕진구 무삼지로 47-0,35.8298909120177,127.163672276218
87,전라북도 전주시 덕진구 한배미6길 20-0,35.8231591599104,127.168356419348
88,전라북도 전주시 덕진구 정언신로 70-0,35.8303834787895,127.161585889026
89,전라북도 전주시 덕진구 정언신로 70-0,35.8303834787895,127.161585889026
90,전라북도 전주시 덕진구 한배미4길 9-0,35.824207000057,127.166193155772
91,전라북도 전주시 덕진구 팽나무5길 18-0,35.8351276267176,127.155770786278
92,전라북도 전주시 덕진구 진버들1길 38-1,35.8373778956174,127.160422299145
93,전라북도 전주시 덕진구 동가재미1길 24-8,35.832020096653,127.163567412348
94,전라북도 전주시 덕진구 매봉로 10-0,35.8391323007151,127.142075268483
95,전라북도 전주시 덕진구 전주천동로 473-0,35.8354190956956,127.128401244528
96,전라북도 전주시 덕진구 삼송1길 4-0,35.8410420565256,127.132863821358
97,전라북도 전주시 덕진구 매봉로 48-1,35.842245564815,127.140728529483
98,전라북도 전주시 덕진구 태진로 131-2,35.8327037267983,127.135274166653
99,전라북도 전주시 덕진구 권삼득로 303-0,35.8432195149705,127.128450121907
100,전라북도 전주시 덕진구 용산1길 12-0,35.834951759062,127.130524866983
101,전라북도 전주시 덕진구 팔달로 377-0,35.8337495706427,127.136210502335
102,전라북도 전주시 덕진구 거북바우3길 13-0,35.838001939559,127.139074065949
103,전라북도 전주시 덕진구 건지로 12-0,35.8447891509972,127.142740657846
104,전라북도 전주시 덕진구 원만성로 3-0,35.8503434534598,127.082496636077
105,전라북도 전주시 덕진구 만성동로 12-0,35.8386229097525,127.07502205366
106,전라북도 전주시 덕진구 만성중앙로 35-0,35.8435707569453,127.075686542857
107,전라북도 전주시 덕진구 호반6길 13-4,35.8514119137202,127.117181579815
108,전라북도 전주시 덕진구 덕진연못3길 9-0,35.846863152232,127.120585533174
109,전라북도 전주시 덕진구 덕진연못3길 9-3,35.847075904919,127.120169527597
110,전라북도 전주시 덕진구 가련산로 14-0,35.8408949784418,127.110810438495
111,전라북도 전주시 덕진구 산정2길 8-0,35.837154077747,127.169700775437
112,전라북도 전주시 덕진구 아중천2길 46-0,35.836334552741,127.170790787531
113,전라북도 전주시 덕진구 안덕원로 370-0,35.8389461901357,127.167349112601
114,전라북도 전주시 덕진구 산정2길 13-0,35.8374718854723,127.169043887062
115,전라북도 전주시 덕진구 안덕원1길 30-0,35.8406323564656,127.165064533019
116,전라북도 전주시 덕진구 안덕원1길 39-0,35.840121102964,127.165763453798
117,전라북도 전주시 덕진구 견훤로 495-0,35.8550385917499,127.153838365184
118,전라북도 전주시 덕진구 우아3길 13-0,35.8487249050368,127.155545535042
119,전라북도 전주시 덕진구 도당산4길 63-0,35.8458818194248,127.154695607345
120,전라북도 전주시 덕진구 우아10길 21-0,35.8524417150105,127.157319731009
121,전라북도 전주시 덕진구 우아8길 18-0,35.8509872078996,127.157847892422
122,전라북도 전주시 덕진구 덕진연못1길 9-3,35.8451843599016,127.123184286022
123,전라북도 전주시 덕진구 명륜4길 25-0,35.8440589945947,127.127217704702
124,전라북도 전주시 덕진구 소리로 54-0,35.8536705349266,127.140864624359
