,학교명,주소,위도,경도
136,,전라북도 전주시 덕진구 진버들2길 16,35.83638849,127.1594804
137,,전라북도 전주시 덕진구 안덕원1길 41,35.83986196,127.1658519
138,,전라북도 전주시 덕진구 가리내로 590,35.86119822,127.1088128
139,,전라북도 전주시 덕진구 인교6길 7,35.82565196,127.1722289
140,,전라북도 전주시 덕진구 우아동1가 인교로 3-14,35.82470458,127.1709512
141,,전라북도 전주시 덕진구 동가재미2길 59,35.83487138,127.1666664
142,,전라북도 전주시 덕진구 조경단로 18-1,35.8360368,127.137145
143,,전라북도 전주시 덕진구 천마산로 33,35.86500788,127.1266799
144,,전라북도 전주시 덕진구 팔복동2가 팔복1길 6,35.84746673,127.104815
145,,전라북도 전주시 덕진구 호성로 18-5,35.854153,127.1527259
146,,전라북도 전주시 덕진구 붓내3길 29,35.86931383,127.1244985
147,,전라북도 전주시 덕진구 인후동1가 석소로 55,35.83271067,127.1653216
148,,전라북도 전주시 덕진구 석소2길 11-4,35.83381368,127.1685981
149,,전라북도 전주시 덕진구 용신길 19-3,35.87576527,127.0609765
150,,전라북도 전주시 덕진구 솔내9길 8-11,35.86311822,127.1256559
151,,전라북도 전주시 덕진구 우아동2가 중상보로 10,35.83068716,127.169083
152,,전라북도 전주시 덕진구 반룡1길 8,35.86024642,127.090539
153,,전라북도 전주시 덕진구 쪽구름로 19,35.86790491,127.0771191
154,,전라북도 전주시 덕진구 솔내5길 18,35.85705228,127.1223851
155,,전라북도 전주시 덕진구 사근1길 23-13,35.8677227,127.1299145
156,,전라북도 전주시 덕진구 호성동1가 호성로 132,35.86221293,127.1496314
157,,전라북도 전주시 덕진구 인후동1가 안덕원로 251,35.83772385,127.1537674
158,,전라북도 전주시 덕진구 호성동1가 호성로 138,35.86368647,127.1478208
159,,전라북도 전주시 덕진구 명주1길 31-5,35.84139662,127.1466537
160,,전라북도 전주시 덕진구 호성동2가 화정안길 25,35.87216397,127.1435408
161,,전라북도 전주시 덕진구 반월4길 15,35.87499416,127.0712831
162,,전라북도 전주시 덕진구 견훤왕궁로 277,35.84261453,127.1440857
163,,전라북도 전주시 덕진구 천마산로 100,35.86477149,127.1317063
164,,전라북도 전주시 덕진구 거북바우로 53,35.83885522,127.1425589
165,,전라북도 전주시 덕진구 호성로 170,35.86629341,127.1456216
166,,전라북도 전주시 덕진구 천마산로 116-3,35.86438273,127.133947
167,,전라북도 전주시 덕진구 인후동1가 견훤로 333,35.83994842,127.1548923
168,,전라북도 전주시 덕진구 백동로 32,35.84763568,127.1497747
169,,전라북도 전주시 덕진구 거북바우3길 15,35.83725553,127.1393008
170,,전라북도 전주시 덕진구 송천로 1,35.85298273,127.1189031
171,,전라북도 전주시 덕진구 정암길 19,35.86112204,127.0604973
