,학교명,주소,위도,경도
122,전주YWCA어린이집,전라북도 전주시 완산구 용머리로 98,35.80590869,127.1209223
123,토마토어린이집,전라북도 전주시 완산구 중산1길 4-4,35.814828,127.1202352
124,리틀키즈어린이집,전라북도 전주시 완산구 따박골로 13,35.80957357,127.1245593
125,하늘채어린이집,전라북도 전주시 완산구 화산천변로 55,35.82311411,127.115439
126,오렌지어린이집,전라북도 전주시 완산구 전룡로 132-8,35.828842,127.1274564
127,레이나어린이집,전라북도 전주시 완산구 삼천천변1길 32,35.79394568,127.1133443
128,가람어린이집,전라북도 전주시 완산구 정동길 1-8,35.78244926,127.1033098
129,엘리트어린이집,전라북도 전주시 완산구 맏내로 158-11,35.79433823,127.1293646
130,미래어린이집,전라북도 전주시 완산구 서신천변1길 16,35.82677322,127.1135486
131,열린생각어린이집,전라북도 전주시 완산구 원서곡길 8,35.83568306,127.0972142
132,평화피노키오어린이집,전라북도 전주시 완산구 평화5길 24-21,35.78426779,127.1363638
133,더큰빛어린이집,전라북도 전주시 완산구 서곡로 20-1,35.83142548,127.0974803
134,파랑어린이집,전라북도 전주시 완산구 서학3길 25-3,35.80649556,127.1513553
135,유정어린이집,전라북도 전주시 완산구 원서곡길 46-34,35.83375358,127.0941179
136,해맑은어린이집,전라북도 전주시 완산구 안행8길 30,35.80022267,127.1323428
137,우석어린이집,전라북도 전주시 완산구 상거마4길 9,35.79713514,127.1202349
138,호남어린이집,전라북도 전주시 완산구 삼산길 26,35.79962798,127.0804453
139,타이니어린이집,전라북도 전주시 완산구 화산천변2길 3-3,35.81969706,127.1164799
140,알프스어린이집,전라북도 전주시 완산구 견훤로 100-14,35.82070273,127.1628974
141,한솔어린이집,전라북도 전주시 완산구 유연로 349-18,35.8251094,127.0983825
142,중흥어린이집,전라북도 전주시 완산구 새터로 74,35.83521408,127.1142806
143,예찬어린이집,전라북도 전주시 완산구 삼천동1가 안행2길 33-3,35.80117204,127.1286299
144,꿈사랑어린이나라어린이집,전라북도 전주시 완산구 화산천변3길 15-5,35.82009406,127.1147084
145,꿈망울어린이집,전라북도 전주시 완산구 소대배기로 33,35.78782363,127.1341297
146,새싹어린이집,전라북도 전주시 완산구 양지3길 34-4,35.78883235,127.1200279
147,그린예꿈어린이집,전라북도 전주시 완산구 평화로 100,35.78663581,127.1348871
148,서진우리어린이집,전라북도 전주시 완산구 평화동1가 평화18길 11,35.79467495,127.135256
149,전통나비어린이집,전라북도 전주시 완산구 충경로 125-29,35.82089777,127.1515951
150,고감도어린이집,전라북도 전주시 완산구 양지2길 5,35.79257577,127.1234912
151,한동어린이집,전라북도 전주시 완산구 평화19길 13-6,35.7954004,127.1380099
152,작은서전주어린이집,전라북도 전주시 완산구 난전들로 139-27,35.78040859,127.1148534
153,푸른초장어린이집,전라북도 전주시 완산구 덕적골3길 36-6,35.79761403,127.1436003
154,신전주어린이집,전라북도 전주시 완산구 능안자구길 75,35.80322874,127.0844769
155,판암어린이집,전라북도 전주시 완산구 안행9길 29-10,35.8021823,127.1327419
156,온누리어린이집,전라북도 전주시 완산구 삼천천변1길 31-3,35.79548072,127.1140985
157,성원어린이집,전라북도 전주시 완산구 서신천변11길 22,35.8308328,127.1110926
158,열린동화나라어린이집,전라북도 전주시 완산구 효자동2가 우전2길 8,35.80562205,127.1083912
160,천사어린이집,전라북도 전주시 완산구 장승배기로 13,35.79316275,127.1144878
161,미미어린이집,전라북도 전주시 완산구 감나무4길 27,35.83146342,127.1197198
162,아이와숲어린이집,전라북도 전주시 완산구 안행2길 26,35.80361872,127.1283521
163,파랑새어린이집,전라북도 전주시 완산구 평화동2가 난전들로 245-15,35.78984428,127.1157242
164,에코어린이집,전라북도 전주시 완산구 화산천변6길 16,35.8214607,127.1144518
165,가은어린이집,전라북도 전주시 완산구 삼천천변1길 46,35.79431038,127.1152788
166,꿈나래어린이집,전라북도 전주시 완산구 전룡5길 24-14,35.82724983,127.1211864
167,온고을어린이집,전라북도 전주시 완산구 난전들로 220-38,35.78750551,127.1201186
168,초록아이어린이집,전라북도 전주시 완산구 따박골6길 23,35.80880772,127.1289603
169,하늘샘어린이집,전라북도 전주시 완산구 당산로 11-3,35.83307198,127.1093247
170,한국어린이집,전라북도 전주시 완산구 용산마을길 35,35.79313163,127.1028472
171,아름다운어린이집,전라북도 전주시 완산구 삼천천변1길 9,35.79536417,127.1114261
172,키즈캠어린이집,전라북도 전주시 완산구 평화11길 6-3,35.78938699,127.1361913
173,굿모닝어린이집,전라북도 전주시 완산구 소대배기로 18-28,35.78677568,127.1315618
174,엄마랑아가랑어린이집,전라북도 전주시 완산구 빙고리3길 19,35.81361338,127.1382424
175,큰나무어린이집,전라북도 전주시 완산구 거마평로 7,35.79309625,127.1166303
176,예쁜아기별어린이집,전라북도 전주시 완산구 효자동3가 서곡로 34,35.83143239,127.0992794
177,아트빌어린이집,전라북도 전주시 완산구 화산천변6길 5,35.82127411,127.1156103
178,위즈어린이집,전라북도 전주시 완산구 쑥고개로 196-32,35.79568354,127.0884758
179,미키어린이집,전라북도 전주시 완산구 삼천천변1길 45,35.79572647,127.1152545
180,아이들세상어린이집,전라북도 전주시 완산구 평화로 71,35.78321464,127.1331586
181,영생어린이집,전라북도 전주시 완산구 삼천천변3길 60,35.79675422,127.1164331
182,국민연금어린이집,전라북도 전주시 완산구 온고을로 13,35.83340618,127.1216859
183,집현전어린이집,전라북도 전주시 완산구 안행5길 5-7,35.80142216,127.1321041
184,색동어린이집,전라북도 전주시 완산구 당산로 43,35.83252898,127.1126324
185,소율어린이집,전라북도 전주시 완산구 삼천천변3길 20,35.7967368,127.112096
186,해뜰어린이집,전라북도 전주시 완산구 새터로 95,35.83611797,127.1192697
187,아이뜰어린이집,전라북도 전주시 완산구 화산천변2길 11-3,35.81973276,127.1173001
188,새나라키즈어린이집,전라북도 전주시 완산구 안터2길 29,35.82807111,127.1174063
189,꿈에그린어린이집,전라북도 전주시 완산구 구이로 2094,35.78322279,127.131981
190,도담어린이집,전라북도 전주시 완산구 화산천변로 50,35.82393417,127.117292
191,태평어린이집,전라북도 전주시 완산구 물레방아1길 43-7,35.82247904,127.1355912
192,보물섬어린이집,전라북도 전주시 완산구 서곡로 8,35.83177947,127.0966134
193,마미랑어린이집,전라북도 전주시 완산구 용머리로 20-1,35.8044343,127.1121053
194,반올림어린이집,전라북도 전주시 완산구 효자동2가 세내로 239,35.81064708,127.1085536
195,우리들어린이집,전라북도 전주시 완산구 산월1길 26,35.8130709,127.1203256
196,호반어린이집,전라북도 전주시 완산구 유연로 217-11,35.82641738,127.1090006
197,해피안어린이집,전라북도 전주시 완산구 평화7길 40,35.78510901,127.1391306
198,이계순의 동화속 어린이집,전라북도 전주시 완산구 난전들로 219-17,35.78693607,127.1159158
199,e편한세상어린이집,전라북도 전주시 완산구 여울로 161,35.84071385,127.1064989
200,늘픔어린이집,전라북도 전주시 완산구 어은로 33-3,35.81743429,127.1262694
201,사랑화수분어린이집,전라북도 전주시 완산구 소태정로 1,35.80604358,127.0974304
202,골든팰리스어린이집,전라북도 전주시 완산구 호암로 40,35.80882672,127.0995864
203,아르팰리스물앤빛어린이집,전라북도 전주시 완산구 호암로 41,35.81043018,127.0993336
204,아이다솜어린이집,전라북도 전주시 완산구 하거마3길 25,35.79416949,127.118182
205,하나캐슬어린이집,전라북도 전주시 완산구 장승배기로 46-10,35.79165061,127.118027
206,SK뷰 생글어린이집,전라북도 전주시 완산구 태평2길 22,35.82474079,127.1400321
207,서곡해뜰어린이집,전라북도 전주시 완산구 원서곡길 54-1,35.83266095,127.0940491
208,예대키즈어린이집,전라북도 전주시 완산구 평화14길 11,35.79199103,127.1348915
209,성산어린이집,전라북도 전주시 완산구 천경로 7,35.80694099,127.1530423
210,엠코동화어린이집,전라북도 전주시 완산구 평화동2가 양지3길 25-1,35.79009018,127.1202794
211,숲소리어린이집,전라북도 전주시 완산구 효자동3가 원서곡길 27,35.83431132,127.0960053
212,송림꽃무지풀무지어린이집,전라북도 전주시 완산구 효자동2가 한절길 67-44,35.80312996,127.0875019
213,오네뜨어린이집,전라북도 전주시 완산구 평화동1가 덕적골1길 50,35.79329229,127.1396979
214,세븐팰리스어린이집,전라북도 전주시 완산구 효자동2가 우전로 180,35.81024102,127.1017938
215,썬샤인어린이집,전라북도 전주시 완산구 효자동2가 우전로 96,35.80382675,127.1012507
216,이안키즈어린이집,전라북도 전주시 완산구 삼천동1가 용리로 165,35.79912396,127.1249104
217,서희스타어린이집,전라북도 전주시 완산구 효자동2가 홍산1길 21,35.81439897,127.1073162
218,예다음어린이집,전라북도 전주시 완산구 중화산동2가 안행로 165-5,35.81024885,127.131199
219,평화노벨어린이집,전라북도 전주시 완산구 평화동1가 덕적골2길 66,35.79333984,127.1411975
220,초록샘어린이집,전라북도 전주시 완산구 효자동2가 홍산1길 7,35.81410443,127.108626
221,아이다움어린이집,전라북도 전주시 완산구 효자동3가 홍산북로 83,35.81835354,127.1113605
222,신원아띠어린이집,전라북도 전주시 완산구 효자동1가 용머리로 101,35.80672988,127.1202424
223,힐스테이트어린이집,전라북도 전주시 완산구 효자동3가 세내로 291,35.81641036,127.1115189
224,아이원어린이집,전라북도 전주시 완산구 서곡로 8,35.83177947,127.0966134
225,서신피노키오어린이집,전라북도 전주시 완산구 새터로 95,35.83611797,127.1192697
226,조은생각어린이집,전라북도 전주시 완산구 서신로 102,35.83527881,127.1169762
227,꼬마들세상 어린이집,전라북도 전주시 완산구 덕적골1길 14,35.79622021,127.1380755
228,예쁜아가어린이집,전라북도 전주시 완산구 거마평로 125,35.80410034,127.1146346
229,도담아이어린이집,전라북도 전주시 완산구 삼천천변1길 45,35.79572647,127.1152545
230,신색동어린이집,전라북도 전주시 완산구 용리로 133,35.79768781,127.1243781
231,해랑꿈이랑어린이집,전라북도 전주시 완산구 거마평로 93,35.80106667,127.1159683
232,코코어린이집,전라북도 전주시 완산구 양지2길 52-7,35.79083253,127.1202094
